TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/5/20,ORD - Chicago,US to Foreign,B77W - Boeing 777-300ER,11,"2,464"
1/5/20,ORD - Chicago,US to Foreign,B752 - Boeing 757-200,1,200
1/5/20,ORD - Chicago,US to Foreign,A20N - Airbus A320 Neo,1,165
1/5/20,ORD - Chicago,US to Foreign,A319 - Airbus A319,3,384
1/5/20,ORD - Chicago,US to Foreign,A320 - Airbus A320 All Series,11,"1,614"
1/5/20,ORD - Chicago,US to Foreign,A321 - Airbus A321 All Series,3,540
1/5/20,ORD - Chicago,US to Foreign,B737 - Boeing 737-700,2,260
1/5/20,ORD - Chicago,US to Foreign,B738 - Boeing 737-800,16,"2,580"
1/5/20,ORD - Chicago,US to Foreign,B739 - Boeing 737-900,6,"1,080"
1/5/20,ORD - Chicago,US to Foreign,B788 - Boeing 787-800,6,"1,452"
1/5/20,ORD - Chicago,US to Foreign,B789 - Boeing 787-9 Dreamliner,7,"1,960"
1/5/20,ORD - Chicago,US to Foreign,E75L - Embraer 175,4,344
1/5/20,ORD - Chicago,US to Foreign,E75S - Embraer 175,7,602
1/5/20,ORD - Chicago,US to Foreign,CRJ2 - Bombardier CRJ-200,1,50
1/5/20,ORD - Chicago,US to Foreign,CRJ7 - Bombardier CRJ-700,4,280
1/5/20,ORD - Chicago,US to Foreign,CRJ9 - Bombardier CRJ-900,3,270
1/5/20,ORD - Chicago,US to Foreign,E145 - Embraer ERJ-145,2,100
1/5/20,ORD - Chicago,US to Foreign,E170 - Embraer 170,3,210
1/5/20,ORD - Chicago,Domestic,B744 - Boeing 747-400,5,"1,856"
1/5/20,ORD - Chicago,Domestic,B748 - Boeing 747-8,2,728
1/5/20,ORD - Chicago,Domestic,B763 - Boeing 767-300,3,690
1/5/20,ORD - Chicago,Domestic,B772 - Boeing 777-200,4,"1,220"
1/5/20,ORD - Chicago,Domestic,B77L - Boeing 777-200LRF/LR,2,540
1/5/20,ORD - Chicago,Domestic,B78X - Boeing 787-10 Dreamliner,1,323
1/5/20,ORD - Chicago,Domestic,B752 - Boeing 757-200,4,800
1/5/20,ORD - Chicago,Domestic,B753 - Boeing 757-300,23,"5,520"
1/5/20,ORD - Chicago,Domestic,A20N - Airbus A320 Neo,1,165
1/5/20,ORD - Chicago,Domestic,A319 - Airbus A319,54,"6,876"
1/5/20,ORD - Chicago,Domestic,A320 - Airbus A320 All Series,74,"10,665"
1/5/20,ORD - Chicago,Domestic,A321 - Airbus A321 All Series,40,"7,295"
1/5/20,ORD - Chicago,Domestic,B712 - Boeing 717-200,20,"2,320"
1/5/20,ORD - Chicago,Domestic,B737 - Boeing 737-700,12,"1,560"
1/5/20,ORD - Chicago,Domestic,B738 - Boeing 737-800,150,"24,070"
1/5/20,ORD - Chicago,Domestic,B739 - Boeing 737-900,46,"8,280"
1/5/20,ORD - Chicago,Domestic,B788 - Boeing 787-800,4,968
1/5/20,ORD - Chicago,Domestic,B789 - Boeing 787-9 Dreamliner,1,280
1/5/20,ORD - Chicago,Domestic,E75L - Embraer 175,66,"5,676"
1/5/20,ORD - Chicago,Domestic,E75S - Embraer 175,3,258
1/5/20,ORD - Chicago,Domestic,MD88 - Boeing (Douglas) MD 88,1,152
1/5/20,ORD - Chicago,Domestic,CRJ2 - Bombardier CRJ-200,62,"3,100"
1/5/20,ORD - Chicago,Domestic,CRJ7 - Bombardier CRJ-700,138,"9,660"
1/5/20,ORD - Chicago,Domestic,CRJ9 - Bombardier CRJ-900,2,180
1/5/20,ORD - Chicago,Domestic,E135 - Embraer ERJ 135/140/Legacy,12,420
1/5/20,ORD - Chicago,Domestic,E145 - Embraer ERJ-145,136,"6,800"
1/5/20,ORD - Chicago,Domestic,E170 - Embraer 170,66,"4,620"
1/5/20,ORD - Chicago,Domestic,E190 - Embraer 190,4,360
1/5/20,ORD - Chicago,Domestic,E45X - Embraer ERJ 145 EX,4,200
1/5/20,ORD - Chicago,Domestic,B190 - Beech 1900/C-12J,1,19
1/5/20,ORD - Chicago,Domestic,-1 - unknown,1,0
1/6/20,ATL - Atlanta,US to Foreign,A332 - Airbus A330-200,2,506
1/6/20,ATL - Atlanta,US to Foreign,A333 - Airbus A330-300,6,"1,970"
1/6/20,ATL - Atlanta,US to Foreign,A346 - Airbus A340-600,1,372
1/6/20,ATL - Atlanta,US to Foreign,A359 - Airbus 350-900,2,628
1/6/20,ATL - Atlanta,US to Foreign,B744 - Boeing 747-400,2,480
1/6/20,ATL - Atlanta,US to Foreign,B748 - Boeing 747-8,1,364
1/6/20,ATL - Atlanta,US to Foreign,B763 - Boeing 767-300,3,690
1/6/20,ATL - Atlanta,US to Foreign,B764 - Boeing 767-400,6,"1,470"
1/6/20,ATL - Atlanta,US to Foreign,B772 - Boeing 777-200,3,860
1/6/20,ATL - Atlanta,US to Foreign,B77L - Boeing 777-200LRF/LR,3,810
1/6/20,ATL - Atlanta,US to Foreign,B77W - Boeing 777-300ER,1,224
1/6/20,ATL - Atlanta,US to Foreign,B78X - Boeing 787-10 Dreamliner,1,323
1/6/20,ATL - Atlanta,US to Foreign,B752 - Boeing 757-200,8,"1,600"
1/6/20,ATL - Atlanta,US to Foreign,A319 - Airbus A319,2,248
1/6/20,ATL - Atlanta,US to Foreign,A320 - Airbus A320 All Series,3,450
1/6/20,ATL - Atlanta,US to Foreign,B737 - Boeing 737-700,6,780
1/6/20,ATL - Atlanta,US to Foreign,B738 - Boeing 737-800,10,"1,600"
1/6/20,ATL - Atlanta,US to Foreign,B739 - Boeing 737-900,19,"3,420"
1/6/20,ATL - Atlanta,US to Foreign,E75S - Embraer 175,4,344
1/6/20,ATL - Atlanta,US to Foreign,MD88 - Boeing (Douglas) MD 88,7,"1,064"
1/6/20,ATL - Atlanta,Domestic,A333 - Airbus A330-300,1,335
1/6/20,ATL - Atlanta,Domestic,B744 - Boeing 747-400,2,960
1/6/20,ATL - Atlanta,Domestic,B748 - Boeing 747-8,2,364
1/6/20,ATL - Atlanta,Domestic,B762 - Boeing 767-200,2,0
1/6/20,ATL - Atlanta,Domestic,B763 - Boeing 767-300,10,"2,300"
1/6/20,ATL - Atlanta,Domestic,B772 - Boeing 777-200,1,305
1/6/20,ATL - Atlanta,Domestic,B77L - Boeing 777-200LRF/LR,3,810
1/6/20,ATL - Atlanta,Domestic,B752 - Boeing 757-200,67,"13,400"
1/6/20,ATL - Atlanta,Domestic,B753 - Boeing 757-300,8,"1,920"
1/6/20,ATL - Atlanta,Domestic,A20N - Airbus A320 Neo,10,"1,650"
1/6/20,ATL - Atlanta,Domestic,A319 - Airbus A319,28,"3,544"
1/6/20,ATL - Atlanta,Domestic,A320 - Airbus A320 All Series,49,"7,434"
1/6/20,ATL - Atlanta,Domestic,A321 - Airbus A321 All Series,110,"20,275"
1/6/20,ATL - Atlanta,Domestic,B712 - Boeing 717-200,157,"18,212"
1/6/20,ATL - Atlanta,Domestic,B734 - Boeing 737-400,1,145
1/6/20,ATL - Atlanta,Domestic,B737 - Boeing 737-700,104,"13,520"
1/6/20,ATL - Atlanta,Domestic,B738 - Boeing 737-800,60,"9,606"
1/6/20,ATL - Atlanta,Domestic,B739 - Boeing 737-900,110,"19,800"
1/6/20,ATL - Atlanta,Domestic,BCS1 - Bombardier CS100,1,110
1/6/20,ATL - Atlanta,Domestic,E75L - Embraer 175,13,"1,118"
1/6/20,ATL - Atlanta,Domestic,E75S - Embraer 175,6,516
1/6/20,ATL - Atlanta,Domestic,MD88 - Boeing (Douglas) MD 88,115,"17,480"
1/6/20,ATL - Atlanta,Domestic,MD90 - Boeing (Douglas) MD 90,51,"7,650"
1/6/20,ATL - Atlanta,Domestic,CRJ2 - Bombardier CRJ-200,70,"3,500"
1/6/20,ATL - Atlanta,Domestic,CRJ7 - Bombardier CRJ-700,2,140
1/6/20,ATL - Atlanta,Domestic,E170 - Embraer 170,11,770
1/6/20,ATL - Atlanta,Domestic,E190 - Embraer 190,8,720
1/6/20,ATL - Atlanta,Domestic,B190 - Beech 1900/C-12J,2,0
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A333 - Airbus A330-300,1,295
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A35K - Airbus A350-1000,1,369
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A388 - Airbus A380-800,1,550
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B744 - Boeing 747-400,2,480
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B772 - Boeing 777-200,6,"1,830"
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B77W - Boeing 777-300ER,5,"1,120"
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B752 - Boeing 757-200,1,200
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A319 - Airbus A319,6,744
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A320 - Airbus A320 All Series,5,753
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,A321 - Airbus A321 All Series,2,370
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B738 - Boeing 737-800,23,"3,680"
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B788 - Boeing 787-800,4,968
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,B789 - Boeing 787-9 Dreamliner,5,"1,400"
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,E75S - Embraer 175,4,344
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,E135 - Embraer ERJ 135/140/Legacy,6,210
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,E170 - Embraer 170,17,"1,190"
1/6/20,DFW - Dallas/Ft. Worth,US to Foreign,E190 - Embraer 190,1,90
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B744 - Boeing 747-400,2,480
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B748 - Boeing 747-8,1,364
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B762 - Boeing 767-200,2,0
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B763 - Boeing 767-300,1,0
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B772 - Boeing 777-200,9,"2,745"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B77L - Boeing 777-200LRF/LR,3,810
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B77W - Boeing 777-300ER,1,224
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B752 - Boeing 757-200,17,"3,400"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,A20N - Airbus A320 Neo,2,330
1/6/20,DFW - Dallas/Ft. Worth,Domestic,A21N - Airbus A-321 Neo,3,618
1/6/20,DFW - Dallas/Ft. Worth,Domestic,A319 - Airbus A319,54,"6,732"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,A320 - Airbus A320 All Series,20,"3,021"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,A321 - Airbus A321 All Series,119,"21,910"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B712 - Boeing 717-200,3,348
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B737 - Boeing 737-700,3,390
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B738 - Boeing 737-800,219,"35,046"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B739 - Boeing 737-900,6,"1,080"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B788 - Boeing 787-800,5,"1,210"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,B789 - Boeing 787-9 Dreamliner,4,"1,120"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,BCS1 - Bombardier CS100,17,"1,870"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,E75L - Embraer 175,6,516
1/6/20,DFW - Dallas/Ft. Worth,Domestic,CRJ2 - Bombardier CRJ-200,5,250
1/6/20,DFW - Dallas/Ft. Worth,Domestic,CRJ7 - Bombardier CRJ-700,43,"3,010"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,CRJ9 - Bombardier CRJ-900,1,90
1/6/20,DFW - Dallas/Ft. Worth,Domestic,E135 - Embraer ERJ 135/140/Legacy,67,"2,345"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,E145 - Embraer ERJ-145,24,"1,200"
1/6/20,DFW - Dallas/Ft. Worth,Domestic,E170 - Embraer 170,113,"7,910"
1/6/20,JFK - New York,US to Foreign,A332 - Airbus A330-200,13,"3,363"
1/6/20,JFK - New York,US to Foreign,A333 - Airbus A330-300,18,"5,990"
1/6/20,JFK - New York,US to Foreign,A346 - Airbus A340-600,4,"1,488"
1/6/20,JFK - New York,US to Foreign,A359 - Airbus 350-900,4,"1,256"
1/6/20,JFK - New York,US to Foreign,A35K - Airbus A350-1000,5,"1,845"
1/6/20,JFK - New York,US to Foreign,A388 - Airbus A380-800,7,"3,850"
1/6/20,JFK - New York,US to Foreign,B744 - Boeing 747-400,9,"4,256"
1/6/20,JFK - New York,US to Foreign,B748 - Boeing 747-8,4,"1,092"
1/6/20,JFK - New York,US to Foreign,B763 - Boeing 767-300,9,"2,070"
1/6/20,JFK - New York,US to Foreign,B764 - Boeing 767-400,4,980
1/6/20,JFK - New York,US to Foreign,B772 - Boeing 777-200,12,"3,550"
1/6/20,JFK - New York,US to Foreign,B77L - Boeing 777-200LRF/LR,3,810
1/6/20,JFK - New York,US to Foreign,B77W - Boeing 777-300ER,27,"6,048"
1/6/20,JFK - New York,US to Foreign,B752 - Boeing 757-200,5,"1,000"
1/6/20,JFK - New York,US to Foreign,A20N - Airbus A320 Neo,2,330
1/6/20,JFK - New York,US to Foreign,A21N - Airbus A-321 Neo,1,206
1/6/20,JFK - New York,US to Foreign,A318 - Airbus A318,1,107
1/6/20,JFK - New York,US to Foreign,A319 - Airbus A319,4,496
1/6/20,JFK - New York,US to Foreign,A320 - Airbus A320 All Series,30,"4,650"
1/6/20,JFK - New York,US to Foreign,A321 - Airbus A321 All Series,20,"3,400"
1/6/20,JFK - New York,US to Foreign,B733 - Boeing 737-300,1,130
1/6/20,JFK - New York,US to Foreign,B736 - Boeing 737-600,1,110
1/6/20,JFK - New York,US to Foreign,B738 - Boeing 737-800,19,"3,044"
1/6/20,JFK - New York,US to Foreign,B739 - Boeing 737-900,11,"1,980"
1/6/20,JFK - New York,US to Foreign,B788 - Boeing 787-800,6,"1,452"
1/6/20,JFK - New York,US to Foreign,B789 - Boeing 787-9 Dreamliner,15,"4,200"
1/6/20,JFK - New York,US to Foreign,E135 - Embraer ERJ 135/140/Legacy,1,35
1/6/20,JFK - New York,US to Foreign,E190 - Embraer 190,2,180
1/6/20,JFK - New York,Domestic,A332 - Airbus A330-200,1,253
1/6/20,JFK - New York,Domestic,B744 - Boeing 747-400,1,480
1/6/20,JFK - New York,Domestic,B748 - Boeing 747-8,1,364
1/6/20,JFK - New York,Domestic,B763 - Boeing 767-300,10,"2,300"
1/6/20,JFK - New York,Domestic,B764 - Boeing 767-400,1,245
1/6/20,JFK - New York,Domestic,B772 - Boeing 777-200,2,610
1/6/20,JFK - New York,Domestic,B77L - Boeing 777-200LRF/LR,1,270
1/6/20,JFK - New York,Domestic,B752 - Boeing 757-200,24,"4,800"
1/6/20,JFK - New York,Domestic,A21N - Airbus A-321 Neo,5,"1,030"
1/6/20,JFK - New York,Domestic,A319 - Airbus A319,7,868
1/6/20,JFK - New York,Domestic,A320 - Airbus A320 All Series,49,"7,581"
1/6/20,JFK - New York,Domestic,A321 - Airbus A321 All Series,73,"12,920"
1/6/20,JFK - New York,Domestic,B712 - Boeing 717-200,14,"1,624"
1/6/20,JFK - New York,Domestic,B738 - Boeing 737-800,26,"4,160"
1/6/20,JFK - New York,Domestic,B739 - Boeing 737-900,24,"4,320"
1/6/20,JFK - New York,Domestic,B789 - Boeing 787-9 Dreamliner,1,280
1/6/20,JFK - New York,Domestic,BCS1 - Bombardier CS100,7,770
1/6/20,JFK - New York,Domestic,E75L - Embraer 175,2,172
1/6/20,JFK - New York,Domestic,E75S - Embraer 175,7,602
1/6/20,JFK - New York,Domestic,E135 - Embraer ERJ 135/140/Legacy,16,560
1/6/20,JFK - New York,Domestic,E145 - Embraer ERJ-145,2,100
1/6/20,JFK - New York,Domestic,E170 - Embraer 170,3,210
1/6/20,JFK - New York,Domestic,E190 - Embraer 190,27,"2,430"
1/6/20,JFK - New York,Domestic,-1 - unknown,0,0
1/6/20,LAX - Los Angeles,US to Foreign,A306 - Airbus A300 B4-600,1,0
1/6/20,LAX - Los Angeles,US to Foreign,A332 - Airbus A330-200,4,"1,049"
1/6/20,LAX - Los Angeles,US to Foreign,A333 - Airbus A330-300,1,295
1/6/20,LAX - Los Angeles,US to Foreign,A346 - Airbus A340-600,1,372
1/6/20,LAX - Los Angeles,US to Foreign,A359 - Airbus 350-900,2,628
1/6/20,LAX - Los Angeles,US to Foreign,A388 - Airbus A380-800,11,"6,050"
1/6/20,LAX - Los Angeles,US to Foreign,B744 - Boeing 747-400,3,"1,440"
1/6/20,LAX - Los Angeles,US to Foreign,B748 - Boeing 747-8,2,0
1/6/20,LAX - Los Angeles,US to Foreign,B762 - Boeing 767-200,1,180
1/6/20,LAX - Los Angeles,US to Foreign,B763 - Boeing 767-300,2,460
1/6/20,LAX - Los Angeles,US to Foreign,B772 - Boeing 777-200,3,915
1/6/20,LAX - Los Angeles,US to Foreign,B77L - Boeing 777-200LRF/LR,6,"1,350"
1/6/20,LAX - Los Angeles,US to Foreign,B77W - Boeing 777-300ER,31,"6,944"
1/6/20,LAX - Los Angeles,US to Foreign,B752 - Boeing 757-200,3,600
1/6/20,LAX - Los Angeles,US to Foreign,A20N - Airbus A320 Neo,1,165
1/6/20,LAX - Los Angeles,US to Foreign,A319 - Airbus A319,8,"1,004"
1/6/20,LAX - Los Angeles,US to Foreign,A320 - Airbus A320 All Series,22,"3,324"
1/6/20,LAX - Los Angeles,US to Foreign,A321 - Airbus A321 All Series,7,"1,205"
1/6/20,LAX - Los Angeles,US to Foreign,B737 - Boeing 737-700,5,650
1/6/20,LAX - Los Angeles,US to Foreign,B738 - Boeing 737-800,14,"2,246"
1/6/20,LAX - Los Angeles,US to Foreign,B739 - Boeing 737-900,9,"1,620"
1/6/20,LAX - Los Angeles,US to Foreign,B788 - Boeing 787-800,1,242
1/6/20,LAX - Los Angeles,US to Foreign,B789 - Boeing 787-9 Dreamliner,29,"8,120"
1/6/20,LAX - Los Angeles,US to Foreign,E75L - Embraer 175,3,258
1/6/20,LAX - Los Angeles,US to Foreign,E190 - Embraer 190,2,180
1/6/20,LAX - Los Angeles,Domestic,A332 - Airbus A330-200,4,"1,012"
1/6/20,LAX - Los Angeles,Domestic,B744 - Boeing 747-400,2,960
1/6/20,LAX - Los Angeles,Domestic,B748 - Boeing 747-8,3,728
1/6/20,LAX - Los Angeles,Domestic,B763 - Boeing 767-300,10,"2,070"
1/6/20,LAX - Los Angeles,Domestic,B772 - Boeing 777-200,5,"1,525"
1/6/20,LAX - Los Angeles,Domestic,B77L - Boeing 777-200LRF/LR,1,270
1/6/20,LAX - Los Angeles,Domestic,B78X - Boeing 787-10 Dreamliner,2,646
1/6/20,LAX - Los Angeles,Domestic,B752 - Boeing 757-200,37,"7,200"
1/6/20,LAX - Los Angeles,Domestic,B753 - Boeing 757-300,11,"2,640"
1/6/20,LAX - Los Angeles,Domestic,A20N - Airbus A320 Neo,2,330
1/6/20,LAX - Los Angeles,Domestic,A21N - Airbus A-321 Neo,10,"2,060"
1/6/20,LAX - Los Angeles,Domestic,A319 - Airbus A319,52,"6,556"
1/6/20,LAX - Los Angeles,Domestic,A320 - Airbus A320 All Series,36,"5,379"
1/6/20,LAX - Los Angeles,Domestic,A321 - Airbus A321 All Series,104,"18,955"
1/6/20,LAX - Los Angeles,Domestic,B734 - Boeing 737-400,1,145
1/6/20,LAX - Los Angeles,Domestic,B737 - Boeing 737-700,91,"11,830"
1/6/20,LAX - Los Angeles,Domestic,B738 - Boeing 737-800,99,"15,888"
1/6/20,LAX - Los Angeles,Domestic,B739 - Boeing 737-900,66,"11,880"
1/6/20,LAX - Los Angeles,Domestic,B788 - Boeing 787-800,2,484
1/6/20,LAX - Los Angeles,Domestic,B789 - Boeing 787-9 Dreamliner,2,560
1/6/20,LAX - Los Angeles,Domestic,E75L - Embraer 175,87,"7,482"
1/6/20,LAX - Los Angeles,Domestic,E75S - Embraer 175,26,"2,236"
1/6/20,LAX - Los Angeles,Domestic,CRJ2 - Bombardier CRJ-200,30,"1,500"
1/6/20,LAX - Los Angeles,Domestic,CRJ7 - Bombardier CRJ-700,30,"2,100"
1/6/20,ORD - Chicago,US to Foreign,A333 - Airbus A330-300,5,"1,555"
1/6/20,ORD - Chicago,US to Foreign,A339 - A330-900neo,1,287
1/6/20,ORD - Chicago,US to Foreign,A346 - Airbus A340-600,1,372
1/6/20,ORD - Chicago,US to Foreign,A359 - Airbus 350-900,1,314
1/6/20,ORD - Chicago,US to Foreign,B744 - Boeing 747-400,2,896
1/6/20,ORD - Chicago,US to Foreign,B748 - Boeing 747-8,2,728
1/6/20,ORD - Chicago,US to Foreign,B763 - Boeing 767-300,5,"1,150"
1/6/20,ORD - Chicago,US to Foreign,B772 - Boeing 777-200,7,"2,135"
1/6/20,ORD - Chicago,US to Foreign,B77L - Boeing 777-200LRF/LR,5,"1,350"
1/6/20,ORD - Chicago,US to Foreign,B77W - Boeing 777-300ER,12,"2,688"
1/6/20,ORD - Chicago,US to Foreign,B752 - Boeing 757-200,1,200
1/6/20,ORD - Chicago,US to Foreign,A20N - Airbus A320 Neo,2,330
1/6/20,ORD - Chicago,US to Foreign,A319 - Airbus A319,3,384
1/6/20,ORD - Chicago,US to Foreign,A320 - Airbus A320 All Series,7,"1,038"
1/6/20,ORD - Chicago,US to Foreign,A321 - Airbus A321 All Series,3,540
1/6/20,ORD - Chicago,US to Foreign,B737 - Boeing 737-700,3,390
1/6/20,ORD - Chicago,US to Foreign,B738 - Boeing 737-800,15,"2,420"
1/6/20,ORD - Chicago,US to Foreign,B739 - Boeing 737-900,6,"1,080"
1/6/20,ORD - Chicago,US to Foreign,B788 - Boeing 787-800,5,"1,210"
1/6/20,ORD - Chicago,US to Foreign,B789 - Boeing 787-9 Dreamliner,4,"1,120"
1/6/20,ORD - Chicago,US to Foreign,E75L - Embraer 175,7,602
1/6/20,ORD - Chicago,US to Foreign,E75S - Embraer 175,11,946
1/6/20,ORD - Chicago,US to Foreign,CRJ2 - Bombardier CRJ-200,1,50
1/6/20,ORD - Chicago,US to Foreign,CRJ7 - Bombardier CRJ-700,4,280
1/6/20,ORD - Chicago,US to Foreign,CRJ9 - Bombardier CRJ-900,1,90
1/6/20,ORD - Chicago,US to Foreign,E170 - Embraer 170,2,140
1/6/20,ORD - Chicago,Domestic,B744 - Boeing 747-400,2,480
1/6/20,ORD - Chicago,Domestic,B748 - Boeing 747-8,3,364
1/6/20,ORD - Chicago,Domestic,B763 - Boeing 767-300,1,230
1/6/20,ORD - Chicago,Domestic,B772 - Boeing 777-200,3,915
1/6/20,ORD - Chicago,Domestic,B77L - Boeing 777-200LRF/LR,2,540
1/6/20,ORD - Chicago,Domestic,B752 - Boeing 757-200,2,400
1/6/20,ORD - Chicago,Domestic,B753 - Boeing 757-300,15,"3,600"
1/6/20,ORD - Chicago,Domestic,A20N - Airbus A320 Neo,4,660
1/6/20,ORD - Chicago,Domestic,A319 - Airbus A319,70,"8,920"
1/6/20,ORD - Chicago,Domestic,A320 - Airbus A320 All Series,58,"8,412"
1/6/20,ORD - Chicago,Domestic,A321 - Airbus A321 All Series,40,"7,295"
1/6/20,ORD - Chicago,Domestic,B712 - Boeing 717-200,25,"2,900"
1/6/20,ORD - Chicago,Domestic,B737 - Boeing 737-700,14,"1,820"
1/6/20,ORD - Chicago,Domestic,B738 - Boeing 737-800,156,"25,034"
1/6/20,ORD - Chicago,Domestic,B739 - Boeing 737-900,49,"8,820"
1/6/20,ORD - Chicago,Domestic,B788 - Boeing 787-800,4,968
1/6/20,ORD - Chicago,Domestic,B789 - Boeing 787-9 Dreamliner,2,560
1/6/20,ORD - Chicago,Domestic,E75L - Embraer 175,65,"5,590"
1/6/20,ORD - Chicago,Domestic,E75S - Embraer 175,4,344
1/6/20,ORD - Chicago,Domestic,MD88 - Boeing (Douglas) MD 88,4,608
1/6/20,ORD - Chicago,Domestic,MD90 - Boeing (Douglas) MD 90,1,150
1/6/20,ORD - Chicago,Domestic,CRJ2 - Bombardier CRJ-200,57,"2,850"
1/6/20,ORD - Chicago,Domestic,CRJ7 - Bombardier CRJ-700,155,"10,850"
1/6/20,ORD - Chicago,Domestic,E135 - Embraer ERJ 135/140/Legacy,13,455
1/6/20,ORD - Chicago,Domestic,E145 - Embraer ERJ-145,129,"6,450"
1/6/20,ORD - Chicago,Domestic,E170 - Embraer 170,72,"5,040"
1/6/20,ORD - Chicago,Domestic,E190 - Embraer 190,8,720
1/6/20,ORD - Chicago,Domestic,E45X - Embraer ERJ 145 EX,1,50
1/6/20,ORD - Chicago,Domestic,-1 - unknown,1,0
1/7/20,ATL - Atlanta,US to Foreign,A332 - Airbus A330-200,2,506
1/7/20,ATL - Atlanta,US to Foreign,A333 - Airbus A330-300,5,"1,675"
1/7/20,ATL - Atlanta,US to Foreign,A346 - Airbus A340-600,1,372
1/7/20,ATL - Atlanta,US to Foreign,A359 - Airbus 350-900,2,628
1/7/20,ATL - Atlanta,US to Foreign,B748 - Boeing 747-8,1,364
1/7/20,ATL - Atlanta,US to Foreign,B763 - Boeing 767-300,4,920
1/7/20,ATL - Atlanta,US to Foreign,B764 - Boeing 767-400,6,"1,470"
1/7/20,ATL - Atlanta,US to Foreign,B772 - Boeing 777-200,3,860
1/7/20,ATL - Atlanta,US to Foreign,B77L - Boeing 777-200LRF/LR,3,810
1/7/20,ATL - Atlanta,US to Foreign,B77W - Boeing 777-300ER,1,224
1/7/20,ATL - Atlanta,US to Foreign,B752 - Boeing 757-200,7,"1,400"
1/7/20,ATL - Atlanta,US to Foreign,A319 - Airbus A319,2,248
1/7/20,ATL - Atlanta,US to Foreign,A320 - Airbus A320 All Series,1,150
1/7/20,ATL - Atlanta,US to Foreign,B737 - Boeing 737-700,5,650
1/7/20,ATL - Atlanta,US to Foreign,B738 - Boeing 737-800,11,"1,760"
1/7/20,ATL - Atlanta,US to Foreign,B739 - Boeing 737-900,19,"3,420"
1/7/20,ATL - Atlanta,US to Foreign,B789 - Boeing 787-9 Dreamliner,2,560
1/7/20,ATL - Atlanta,US to Foreign,E75S - Embraer 175,4,344
1/7/20,ATL - Atlanta,US to Foreign,MD88 - Boeing (Douglas) MD 88,7,"1,064"
1/7/20,ATL - Atlanta,Domestic,A333 - Airbus A330-300,2,670
1/7/20,ATL - Atlanta,Domestic,B762 - Boeing 767-200,1,0
1/7/20,ATL - Atlanta,Domestic,B763 - Boeing 767-300,10,"2,070"
1/7/20,ATL - Atlanta,Domestic,B772 - Boeing 777-200,0,0
1/7/20,ATL - Atlanta,Domestic,B77L - Boeing 777-200LRF/LR,2,540
1/7/20,ATL - Atlanta,Domestic,B752 - Boeing 757-200,69,"13,800"
1/7/20,ATL - Atlanta,Domestic,B753 - Boeing 757-300,7,"1,680"
1/7/20,ATL - Atlanta,Domestic,A20N - Airbus A320 Neo,12,"1,980"
1/7/20,ATL - Atlanta,Domestic,A319 - Airbus A319,20,"2,546"
1/7/20,ATL - Atlanta,Domestic,A320 - Airbus A320 All Series,45,"6,792"
1/7/20,ATL - Atlanta,Domestic,A321 - Airbus A321 All Series,103,"19,010"
