TFMSC Report (Airport),,,,,
,,,,,
"From 01/01/2020 To 08/29/2020 | Airport=ATL, DFW, JFK, LAX, ORD | User Class=Air Carrier | Not Business Jet | Business Aviation=N",,,,,
Date,Airport,Flight Type,Aircraft Type,Departures,Departure Seats
1/1/20,DFW - Dallas/Ft. Worth,Domestic,B752 - Boeing 757-200,13,"2,600"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,A20N - Airbus A320 Neo,2,330
1/1/20,DFW - Dallas/Ft. Worth,Domestic,A21N - Airbus A-321 Neo,4,824
1/1/20,DFW - Dallas/Ft. Worth,Domestic,A319 - Airbus A319,44,"5,492"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,A320 - Airbus A320 All Series,19,"2,841"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,A321 - Airbus A321 All Series,106,"19,490"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,B738 - Boeing 737-800,205,"32,800"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,B739 - Boeing 737-900,5,900
1/1/20,DFW - Dallas/Ft. Worth,Domestic,B788 - Boeing 787-800,6,"1,452"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,B789 - Boeing 787-9 Dreamliner,4,"1,120"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,BCS1 - Bombardier CS100,10,"1,100"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,E75L - Embraer 175,6,516
1/1/20,DFW - Dallas/Ft. Worth,Domestic,MD90 - Boeing (Douglas) MD 90,0,0
1/1/20,DFW - Dallas/Ft. Worth,Domestic,CRJ2 - Bombardier CRJ-200,4,200
1/1/20,DFW - Dallas/Ft. Worth,Domestic,CRJ7 - Bombardier CRJ-700,38,"2,660"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,E135 - Embraer ERJ 135/140/Legacy,72,"2,520"
1/1/20,DFW - Dallas/Ft. Worth,Domestic,E145 - Embraer ERJ-145,15,750
1/1/20,DFW - Dallas/Ft. Worth,Domestic,E170 - Embraer 170,107,"7,490"
1/1/20,JFK - New York,US to Foreign,A332 - Airbus A330-200,9,"2,314"
1/1/20,JFK - New York,US to Foreign,A333 - Airbus A330-300,20,"6,620"
1/1/20,JFK - New York,US to Foreign,A339 - A330-900neo,1,287
1/1/20,JFK - New York,US to Foreign,A343 - Airbus A340-300,1,335
1/1/20,JFK - New York,US to Foreign,A346 - Airbus A340-600,2,744
1/1/20,JFK - New York,US to Foreign,A359 - Airbus 350-900,5,"1,570"
1/1/20,JFK - New York,US to Foreign,A35K - Airbus A350-1000,4,"1,476"
1/1/20,JFK - New York,US to Foreign,A388 - Airbus A380-800,7,"3,850"
1/1/20,JFK - New York,US to Foreign,B744 - Boeing 747-400,6,"2,880"
1/1/20,JFK - New York,US to Foreign,B748 - Boeing 747-8,3,"1,092"
1/1/20,JFK - New York,US to Foreign,B763 - Boeing 767-300,6,"1,380"
1/1/20,JFK - New York,US to Foreign,B764 - Boeing 767-400,4,980
1/1/20,JFK - New York,US to Foreign,B772 - Boeing 777-200,16,"4,770"
1/1/20,JFK - New York,US to Foreign,B77L - Boeing 777-200LRF/LR,2,540
1/1/20,JFK - New York,US to Foreign,B77W - Boeing 777-300ER,26,"5,824"
1/1/20,JFK - New York,US to Foreign,B752 - Boeing 757-200,6,"1,200"
1/1/20,JFK - New York,US to Foreign,A20N - Airbus A320 Neo,2,330
1/1/20,JFK - New York,US to Foreign,A21N - Airbus A-321 Neo,2,412
1/1/20,JFK - New York,US to Foreign,A319 - Airbus A319,5,620
1/1/20,JFK - New York,US to Foreign,A320 - Airbus A320 All Series,28,"4,344"
1/1/20,JFK - New York,US to Foreign,A321 - Airbus A321 All Series,22,"3,740"
1/1/20,JFK - New York,US to Foreign,B737 - Boeing 737-700,1,130
1/1/20,JFK - New York,US to Foreign,B738 - Boeing 737-800,20,"3,204"
1/1/20,JFK - New York,US to Foreign,B739 - Boeing 737-900,10,"1,800"
1/1/20,JFK - New York,US to Foreign,B788 - Boeing 787-800,2,484
1/1/20,JFK - New York,US to Foreign,B789 - Boeing 787-9 Dreamliner,17,"4,760"
1/1/20,JFK - New York,US to Foreign,E190 - Embraer 190,3,270
1/1/20,JFK - New York,Domestic,A332 - Airbus A330-200,1,253
1/1/20,JFK - New York,Domestic,B744 - Boeing 747-400,2,960
1/1/20,JFK - New York,Domestic,B748 - Boeing 747-8,2,728
1/1/20,JFK - New York,Domestic,B763 - Boeing 767-300,6,"1,380"
1/1/20,JFK - New York,Domestic,B764 - Boeing 767-400,1,245
1/1/20,JFK - New York,Domestic,B772 - Boeing 777-200,2,610
1/1/20,JFK - New York,Domestic,B77L - Boeing 777-200LRF/LR,2,270
1/1/20,JFK - New York,Domestic,B752 - Boeing 757-200,14,"2,800"
1/1/20,JFK - New York,Domestic,A21N - Airbus A-321 Neo,5,"1,030"
1/1/20,JFK - New York,Domestic,A319 - Airbus A319,5,620
1/1/20,JFK - New York,Domestic,A320 - Airbus A320 All Series,44,"6,831"
1/1/20,JFK - New York,Domestic,A321 - Airbus A321 All Series,73,"12,875"
1/1/20,JFK - New York,Domestic,B712 - Boeing 717-200,7,812
1/1/20,JFK - New York,Domestic,B738 - Boeing 737-800,24,"3,840"
1/1/20,JFK - New York,Domestic,B739 - Boeing 737-900,25,"4,500"
1/1/20,JFK - New York,Domestic,B789 - Boeing 787-9 Dreamliner,1,280
1/1/20,JFK - New York,Domestic,BCS1 - Bombardier CS100,2,220
1/1/20,JFK - New York,Domestic,E75S - Embraer 175,12,"1,032"
1/1/20,JFK - New York,Domestic,E135 - Embraer ERJ 135/140/Legacy,11,385
1/1/20,JFK - New York,Domestic,E145 - Embraer ERJ-145,2,100
1/1/20,JFK - New York,Domestic,E170 - Embraer 170,5,350
1/1/20,JFK - New York,Domestic,E190 - Embraer 190,30,"2,700"
1/1/20,JFK - New York,Domestic,-1 - unknown,0,0
1/1/20,LAX - Los Angeles,US to Foreign,A332 - Airbus A330-200,3,796
1/1/20,LAX - Los Angeles,US to Foreign,A333 - Airbus A330-300,1,295
1/1/20,LAX - Los Angeles,US to Foreign,A359 - Airbus 350-900,6,"1,884"
1/1/20,LAX - Los Angeles,US to Foreign,A388 - Airbus A380-800,12,"6,600"
1/1/20,LAX - Los Angeles,US to Foreign,B744 - Boeing 747-400,4,"1,440"
1/1/20,LAX - Los Angeles,US to Foreign,B748 - Boeing 747-8,2,364
1/1/20,LAX - Los Angeles,US to Foreign,B763 - Boeing 767-300,2,230
1/1/20,LAX - Los Angeles,US to Foreign,B772 - Boeing 777-200,7,"2,025"
1/1/20,LAX - Los Angeles,US to Foreign,B77L - Boeing 777-200LRF/LR,9,"1,890"
1/1/20,LAX - Los Angeles,US to Foreign,B77W - Boeing 777-300ER,30,"6,720"
1/1/20,LAX - Los Angeles,US to Foreign,B752 - Boeing 757-200,3,600
1/1/20,LAX - Los Angeles,US to Foreign,A20N - Airbus A320 Neo,2,330
1/1/20,LAX - Los Angeles,US to Foreign,A319 - Airbus A319,13,"1,624"
1/1/20,LAX - Los Angeles,US to Foreign,A320 - Airbus A320 All Series,16,"2,418"
1/1/20,LAX - Los Angeles,US to Foreign,A321 - Airbus A321 All Series,6,"1,020"
1/1/20,LAX - Los Angeles,US to Foreign,B737 - Boeing 737-700,3,390
1/1/20,LAX - Los Angeles,US to Foreign,B738 - Boeing 737-800,17,"2,728"
1/1/20,LAX - Los Angeles,US to Foreign,B739 - Boeing 737-900,12,"2,160"
1/1/20,LAX - Los Angeles,US to Foreign,B788 - Boeing 787-800,3,726
1/1/20,LAX - Los Angeles,US to Foreign,B789 - Boeing 787-9 Dreamliner,28,"7,840"
1/1/20,LAX - Los Angeles,US to Foreign,E75L - Embraer 175,3,258
1/1/20,LAX - Los Angeles,US to Foreign,E190 - Embraer 190,1,90
1/1/20,LAX - Los Angeles,Domestic,A332 - Airbus A330-200,5,"1,265"
1/1/20,LAX - Los Angeles,Domestic,B744 - Boeing 747-400,3,480
1/1/20,LAX - Los Angeles,Domestic,B748 - Boeing 747-8,3,"1,092"
1/1/20,LAX - Los Angeles,Domestic,B762 - Boeing 767-200,0,0
1/1/20,LAX - Los Angeles,Domestic,B763 - Boeing 767-300,7,"1,380"
